id,time_stamp,created_at,author,favourite_count,re_tweeet_count,text,original_tweet_id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,iso_language_code,source,user_id,conversation_id,stake_holder,
		"12518","2014-02-11 13:00:21.115","2014-02-11","trafficscotland","0","0","@DreaF82 Sorry Drea. Where do you stay?! There is more snow forecast...","433223982225965057","DreaF82","433223566663106560","1349489334","en","Web","20106985","12499","t",
		"12522","2014-02-11 13:00:34.733","2014-02-11","nanof2bratz","0","0","@BBCTravelScot looks lovely, what time you expecting us?","433224039491178496","BBCTravelScot","433220232610455552","133322750","en","Twitter for BlackBerry","40431773","12397","f",
		"12526","2014-02-11 13:00:58.994","2014-02-11","DreaF82","0","0","@trafficscotland renfrewshire I'm not holding my breath :-(","433224141211439104","trafficscotland","433223982225965057","20106985","en","Twitter for Android","1349489334","12499","f",
		"12530","2014-02-11 13:01:43.244","2014-02-11","BBCTravelScot","0","0","@AyrshireNPolice Don't be late!","433224189290352640","AyrshireNPolice","433223611877687296","545879726","en","Web","133322750","12510","t",
		"9518","2014-02-11 07:48:03.915","2014-02-11","trafficscotland","0","0","Highlands: #A9 #Kessock Bridge reaching 45 minute delays Southbound.","433145392499159040","","-1","-1","en","Web","20106985","","t",
		"10050","2014-02-11 08:01:33.958","2014-02-11","BBCTravelScot","0","0","RT @NWTrunkRoads: Conditions at #A9 Drumochter at 07:54 http://t.co/K59cN30Wo7","433148790120673280","","-1","-1","en","Web","133322750","","t",
		"9277","2014-02-11 07:30:52.289","2014-02-11","FirstAberdeen","0","0","But apart from that 27, everything else is on the road, with only minor delays to report at the moment","433141065495740416","","-1","-1","en","Web","398777719","","t",
		"10328","2014-02-11 08:16:01.47","2014-02-11","trafficscotland","0","0","ScottishBorders: #A72 at Galasheils looking like this: http://t.co/iQVlRMiFUt","433152427114508291","","-1","-1","en","Web","20106985","","t",
		"12534","2014-02-11 13:02:04.424","2014-02-11","trafficscotland","0","0","@DreaF82 Hmmm you never know. Stranger things have happened :)","433224415585632256","DreaF82","433224141211439104","1349489334","en","Web","20106985","12499","t",
		"13601","2014-02-11 17:45:13.243","2014-02-11","Blondewyn1","0","0","RT @trafficscotland: Snow here now ... http://t.co/TK4MTcZpUt","433295672327282688","","-1","-1","en","Twitter for iPhone","45724856","","f",
		"8832","2014-02-11 06:20:33.253","2014-02-11","trafficscotland","0","0","Dumfries&Galloway: Horizontal rain on the #A76. Take it easy and drive to the road conditions. http://t.co/MralQa77uh","433123366631792640","","-1","-1","en","Web","20106985","","t",
		"8878","2014-02-11 06:36:01.678","2014-02-11","BBCTravelScot","0","0","RT @trafficscotland: Highlands: #A9 #Kessock works on-going - leave a little extra time for your journey - particularly travelling South th…","433127263622922241","","-1","-1","en","Web","133322750","","t",
		"9272","2014-02-11 07:30:48.587","2014-02-11","trafficscotland","0","0","ScottishBorders: Anyone want to come build a snowman? I reckon there's enough snow on the #A68 at #CarterBar.","433141049850986496","","-1","-1","en","Web","20106985","","t",
		"8800","2014-02-11 05:18:40.959","2014-02-11","roadscot","0","0","A87 Skye Bridge - High winds: Road users are advised to use caution crossing the A87 Skye Bridge due to high w... http://t.co/dR7rHrB2zW","433107798365184000","","-1","-1","en","<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>","86934802","","t",
		"8804","2014-02-11 06:06:54.095","2014-02-11","NWTrunkRoads","0","0","RT @trafficscotland: Highland and Western Isles - YELLOW Weather Alert, A band of rain, sleet and snow will spread... http://t.co/knzdla0kV…","433119933745344512","","-1","-1","en","Twitter for iPhone","278547602","","f",
		"8810","2014-02-11 06:08:13.394","2014-02-11","trafficscotland","0","0","Morning! Claire here until 10! Freezing conditions over the country this morning so take it easy. Strong winds also affecting #skye bridge.","433120266248400896","","-1","-1","en","Web","20106985","","t",
		"8818","2014-02-11 06:13:16.758","2014-02-11","trafficscotland","0","0","I passed 2 @BEAR_Scotland gritters on my travels this morning... Did you spot any out and about? http://t.co/vAvRjOTvVp","433121537625833472","","-1","-1","en","Web","20106985","","t",
		"8823","2014-02-11 06:15:14.999","2014-02-11","trafficscotland","0","0","Highlands: #A9 #Kessock works on-going - leave a little extra time for your journey - particularly travelling South this morning.","433122034533412864","","-1","-1","en","Web","20106985","","t",
		"8814","2014-02-11 06:10:35.89","2014-02-11","trafficscotland","0","0","@glezgah Morning Stevie! just picked up your tweet! Hope today works out a bit better for you! Claire. :)","433120863857025024","glezgah","432968974532612096","346892214","en","Web","20106985","5737","t",
		"8828","2014-02-11 06:19:19.284","2014-02-11","alasdair_weir","0","0","@trafficscotland snow is just starting in Kilwinning","433123059193892864","trafficscotland","433122034533412864","20106985","en","Twitter for Android","2153877273","8823","f",
		"8837","2014-02-11 06:21:55.29","2014-02-11","BBCScotWeather","0","0","Morning, Chris here. Wet/windy start for many. Lighter through C.Belt. Snow to the hills/high ground and high-level roads this AM. Cold, 5C","433123713542676480","","-1","-1","en","Web","300266772","","t",
		"8848","2014-02-11 06:24:55.57","2014-02-11","trafficscotland","0","0","Stirling: #A85 not looking great either... Stay safe. #scottishweather
Here's the view at Glen Ogle: http://t.co/Mr4bdVq7Ml","433124468517376000","","-1","-1","en","Web","20106985","","t",
		"8854","2014-02-11 06:25:48.2","2014-02-11","PuffinGouda","0","0","RT @trafficscotland: Dumfries&Galloway: Horizontal rain on the #A76. Take it easy and drive to the road conditions. http://t.co/MralQa77uh","433124690505531392","","-1","-1","en","Web","20781788","","f",
		"8868","2014-02-11 06:34:33.601","2014-02-11","BBCTravelScot","0","0","RT @BBCScotWeather: Morning, Chris here. Wet/windy start for many. Lighter through C.Belt. Snow to the hills/high ground and high-level roa…","433126894264127488","","-1","-1","en","Web","133322750","","t",
		"8872","2014-02-11 06:35:55.627","2014-02-11","BBCTravelScot","0","0","RT @BBCDavidMiller: Iberdrola's massive Cortes La Muela hydro project in Spain... the inspiration behind plans to expand #Cruachan. http://…","433127238230622208","","-1","-1","en","Web","133322750","","t",
