id,time_stamp,created_at,author,favourite_count,re_tweeet_count,text,original_tweet_id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,iso_language_code,source,user_id,conversation_id,stake_holder,
		"316","2014-02-07 17:42:03.536","2014-02-07","GaynorHelen1","0","0","@ScotRail @NetworkRailSCOT okaaay!","431845318087307264","ScotRail","431824337403150336","61569136","en","Web","2296352772","179937","f",
		"29743","2014-02-14 16:46:38.884","2014-02-14","Babygurlraca88","0","0","Naaaaaaaa didn't think so either! no1 wants to help the 1 country that helps every1 else! #ukfloods","434367982001987584","","-1","-1","en","Twitter for iPhone","175458208","29743","f",
		"30211","2014-02-14 16:56:38.881","2014-02-14","Motorhead_Racer","0","0","RT @Babygurlraca88: Naaaaaaaa didn't think so either! no1 wants to help the 1 country that helps every1 else! #ukfloods","434370599520333824","","-1","-1","en","Twitter for Android","317412611","30211","f",
		"31705","2014-02-14 17:28:11.841","2014-02-14","dp1only","0","0","@trafficscotland Yaaas!!!","434378537257426944","trafficscotland","434377671548862464","20106985","es","Twitter for Android","1651290787","31523","f",
		"34936","2014-02-14 20:03:06.383","2014-02-14","miss_shiv","0","0","I don't like to swear but fuck me.. this weather down south is some craaazy shizzle #ukfloods","434417523887730688","","-1","-1","en","Twitter for Android","22403132","34936","f",
		"69424","2014-02-17 07:33:54.88","2014-02-17","FirstAberdeen","0","0","@kaaaafx Hi Kathryn, sorry about that. Can you email us the details to customer.services@firstgroup.com and we'll investigate. Thanks","435316158955134976","kaaaafx","435311578251272193","436074455","en","Web","398777719","69419","t",
		"77207","2014-02-17 14:31:25.399","2014-02-17","defjeffb1a","0","0","RT @jaokhaaa: Cara Delevingne at Burberry show🙈😍 http://t.co/NjzrE4aVcP","435421175951286272","","-1","-1","en","Twitter for iPad","934505587","77207","f",
		"82937","2014-02-17 14:32:09.05","2014-02-17","respitardn","0","0","aaahhh *die* "@Go1DenUpdates: Burberry Harry 2012-2013-2014 http://t.co/lyBkNRzjdR"","435421412774653952","","-1","-1","in","Twitter for Android","103524648","82937","f",
		"84683","2014-02-17 14:32:40.779","2014-02-17","playmyharry","0","0","Ano passado já tinha pirado com as fotos do Harry no desfile da Burberry mas esse anoo estou apaixonadaaa, não consigo parar de olhar elee","435421489073242112","","-1","-1","pt","Twitter for Android","2273792436","84683","f",
		"88186","2014-02-17 14:33:27.804","2014-02-17","DJGuess_CKong","0","0","@Burberry #Burberry #LFW maaaaan!!!","435421645520379907","Burberry","435418822003421184","47459700","de","Twitter for BlackBerry","154368876","75054","f",
